id;entorno;nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;lat;lng;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion
13296;Obras en escuelas de Comuna 15;Escuela Primaria Comun Nø 10 Republica Del Ecuador: Mejora Edilicia.;Finalizada;Escuelas;Ministerio de Educacion;Obra De Instalacion Electrica Y De Gas;2588218;15;PATERNAL;-346.009.484.213.375;-584.677.109.108.764;5/7/2016;2/11/2016;4;100;DI PIETRO PAOLO RUBENS ERNESTO;;;
13297;Obras en escuelas de Comuna 10;Esc. Primaria Comun Nø 23 Republica de Portugal: Obras generales.;Finalizada;Escuelas;Ministerio de Educacion;Obra De Reparacion E Instalacion De Calefaccion;2681984;10;FLORESTA;-346.294.195.916.924;-584.865.483.192.567;5/5/2017;5/3/2017;;100;Construmod S.A.;;;
13298;Obras en escuelas de Comuna 11;Centes Nø 4: Mejora Edilicia;Finalizada;Escuelas;Ministerio de Educacion;Obra De Remodelacion Y Adecuacion De Instalaciones Y Sanitarios Para Personas Con Discapacidad;2781936;11;VILLA DEVOTO;-345.955.114.321.795;-585.093.012.692.548;15/12/2016;16/3/2017;3;100;Codasa;;;
13299;Obras en escuelas de Comuna 13;Escuela Primaria Comun Nø 17 Dr. Juan Balestra: Mejora Edilicia;Finalizada;Escuelas;Ministerio de Educacion;Obra De Instalacion Electrica Y Sanitaria;2873156;13;BELGRANO;-345.571.587.685.599;-584.566.817.435.459;1/10/2015;6/6/2017;20;100;COYPRO SOCIEDAD ANONIMA;;;
13300;Obras en escuelas de Comuna 1;Escuela Primaria Comun Nø 04 Cnel. Isidoro Suarez: Mejora Edilicia;Finalizada;Escuelas;Ministerio de Educacion;Obras Para Mejoramiento Edilicio.;2969250;1;MONTSERRAT;-34.613.943.602.097;-583.772.501.473.197;3/4/2017;1/8/2017;4;100;Mediterraneo S.A;;;
13301;Obras en escuelas de Comuna 12;Escuela Primaria Comun Nø 15 Provincia De Santa Fe: Mejora Edilicia;Finalizada;Escuelas;Ministerio de Educacion;Obra De Instalacion Electrica, Impermeabilizacion Y Reparacion De Cubierta;2991264;12;SAAVEDRA;-345.415.312.207.124;-584.768.058.613.829;31/1/2017;26/3/2017;2;100;Mazhari S.A.;;;
13302;Obras en escuelas de Comuna 10;Esc. Primaria Comun Nø 25 Estados Unidos de America: Obras generales.;Finalizada;Escuelas;Ministerio de Educacion;Obra De Impermeabilizacion De Cubiertas;3499886;10;VERSALLES;-346.284.529.838.791;-585.228.075.269.557;24/10/2016;13/3/2017;5;100;Ferrarino;;;
13303;Obras en escuelas de Comuna 15;Escuela Primaria Comun Nø 17 Francisco De Vitoria: Obra de infraestructura.;Finalizada;Escuelas;Ministerio de Educacion;Obra De Refacciones Varias Y Restauracion;4374885;15;VILLA CRESPO;-346.018.659.499.575;-584.381.125.695.215;22/4/2014;11/5/2017;37;100;Garbin S.A.;;;
13304;Obras en escuelas de Comuna 4;Escuela Tecnica Nø 33 Fundicion Maestranza Del Plumerillo: Mejora edilicia.;Finalizada;Escuelas;Ministerio de Educacion;Obra De Adecuacion A Normativa;4576809;4;NUEVA POMPEYA;-34.655.715.138.053;-584.200.655.440.162;5/11/2016;19/4/2018;17;100;S.E.S. S.A. - MIG S.A. - UTE;;;
13305;Obras en escuelas de Comuna 7;Escuela Primaria Comun Nø 24: Mejora Edilicia.;Finalizada;Escuelas;Ministerio de Educacion;Construccion3 Aulas Taller;5199700;7;FLORES;-346.472.542.942.023;-584.492.064.239.884;12/8/2016;30/3/2017;7;100;Dilthey S.A.;;;
13306;Obras en escuelas de Comuna 10;Esc. Primaria Comun Nø 08 Base Aerea Vicecomodoro Marambio: Obras generales;Finalizada;Escuelas;Ministerio de Educacion;Obra De Instalacion Electrica, Termomecanica Y Construccion Casa Casero.;6017102;10;VILLA LURO;-346.360.233.496.803;-584.961.577.291.912;1/11/2016;31/12/2017;13;100;Majo Construcciones S.A.;;;
13307;Obras en escuelas de Comuna 1;IES En Lenguas Vivas Juan Ramon Fernandez De 1 (Nivel Secundario);Finalizada;Escuelas;Ministerio de Educacion;Obra De Ampliacion De 4 Aulas Y 1 Espacio Para Preceptores;7203420;1;RETIRO;-34.590.313.422.028;-583.813.070.761.669;18/10/2017;30/4/2018;6;100;COYPRO SOCIEDAD ANONIMA;;;
13308;Obras en escuelas de Comuna 6;Polideportivo Colegio Nø 03 Mariano Moreno: Obra de infraestructura;Finalizada;Escuelas;Ministerio de Educacion;Ejecucion De Canchas, Vestuarios, Sanitario De Discapacitados Y Sala De Profesores;7614048;6;CABALLITO;-346.168.210.264.932;-584.390.665.577.614;27/12/2016;31/7/2017;7;100;Hit Construcciones S.A;;;
13309;Plan 54 escuelas;Polo educativo Lugano - Escuela de Educacion Primaria N.ø 7 D.E. 21;Finalizada;Escuelas;Ministerio de Educacion;Primaria;8000000;8;VILLA LUGANO;-346.768.899.732.447;-584.675.914.106.227;15/11/2016;30/8/2018;21;100;Teximco S.A.;;;
13310;Obras en escuelas de Comuna 12;Jin A (01/15): Obras generales;Finalizada;Escuelas;Ministerio de Educacion;Obra De Reparacion De Patologias Y Refuncionalizacion;8948590;12;VILLA URQUIZA;-345.714.273.181.708;-584.899.173.647.232;23/1/2017;22/11/2017;10;100;Radiotronica Construcciones S.A.;;;
13311;Obras en escuelas de Comuna 10;Escuela Primaria Comun Nø 03 Angela M. De Caviglia: mejora edilicia.;Finalizada;Escuelas;Ministerio de Educacion;Obra De Ampliacion Y Remodelacion;16034567;10;VELEZ SARSFIELD;-34.634.527.096.109;-584.817.314.490.952;4/9/2015;25/2/2017;17;100;Cunumi S.A;;;
13312;Plan 54 escuelas;Escuela de Educacion Media N.ø 5 D.E. 19;Finalizada;Escuelas;Ministerio de Educacion;Media;18787437;8;VILLA SOLDATI;-346.642.238.479.226;-58.448.908.564.873;;3/6/2016;;100;Cavcon S.A.;;;
13313;Obras en escuelas de Comuna 3;Esc. Normal Superior Nø 09 Domingo Faustino Sarmiento: Obras generales.;Finalizada;Escuelas;Ministerio de Educacion;Obra De Restauracion, Puesta En Valor, Y Rehabilitacion General;27795511;3;BALVANERA;-346.037.951.658.997;-583.924.384.395.058;18/7/2016;28/2/2018;19;100;Teximco S.A.;;;
13314;Plan 54 escuelas;Polo Educativo Mugica: Escuelas Infantil Nø 5 ;Finalizada;Escuelas;Ministerio de Educacion;Inicial;168789875;1;RETIRO;-345.892.137.594.234;-583.710.152.463.657;1/1/2018;14/5/2019;16;100;Teximco S.A.;2017;Licitacion Publica;88--SSCRYAC-2017
19000;Hospital Alvear;Hospital Alvear - Infraestructura Y Seguridad;Finalizada;Salud;Ministerio de Salud;La Obra Consiste: 1) Elevacion Muros Sector Polideportivo Y Nosocomio (+ 2 Mts Altura) Con Altura Total Final 3.50 Mts 2) Colocar Serpentinas En Toda La Parte Superior.3) Colocar Reflectores A Lo Largo Del Polideportivo. 4) Colocar Reja Perimetral Sector Parque. 5) Reforzar Rondines Nocturnos Por Parte Empresa De Seguridad;4269045;15;PATERNAL;-345.971.213.143.408;-584.758.887.580.725;17/10/2017;30/4/2018;6;100;Mejoramiento Hospitalario S.A.;2014;;
19001;Hospital Alvear;Hospital Alvear - Trabajos De Instalaciones Termo Mecanicas Y Electricas En Pabellon Nø 1, Etapa 3;Finalizada;Salud;Ministerio de Salud;Las Obras Comprenden La Remodelacion Integral Del Pabellon 1 En El Hospital Alvear, Incluyendo Tambien La Ejecucion De Obras Exteriores, Espacios Verdes Circundantes Y Semicubiertos. Las Obras A Ejecutar Tanto Interiores Como Exteriores Tienen Por Objeto Dejar El Hospital En Condiciones Adecuadas De Funcionamiento. Se Intervendra En La Climatizacion Y Acondicionamiento Electrico Del Pabellon Nø 1 Cumpliendo Con Las Normas Vigentes, Con El Fin De Brindar Un Nuevo Destino Y Reubicacion Estrategica A La Consulta Externa. Se Realizara Una Ampliacion Edilicia Dentro Del Pabellon Nø 1, Que Contempla Un Nuevo Espacio Destinado Al Acceso Y Espera En El area De Consulta Externa, Obteniendo Como Resultado Una Entrada Independiente, Desvinculando La Atencion Externa De La De Internacion. La Obra Comprendera Trabajos De Estructuras Y Alba¤ileria En General Como La Ejecucion De Mamposteria De Elevacion, Distintos Tipos De Revoques Y Cielorrasos, La Colocacion De Revestimientos, Solados Y Carpinterias.;9378358;15;PATERNAL;-345.971.213.143.408;-584.758.887.580.725;10/4/2017;15/7/2018;15;100;Mejoramiento Hospitalario S.A.;2014;;
19003;Hospital Ramos Mejia;Hospital Ramos Mejia - Remodelacion Del Sector De Guardia;Finalizada;Salud;Ministerio de Salud;La Obra Consiste En La Remodelacion Del Sector De Guardia Del Hospital General De Agudos Dr. Ramos Mejia. La Obra Comprendera Tareas De Pintura, Desmonte Y Reemplazo De Cielorrasos Suspendidos, Pulido De Pisos Y Revestimientos Graniticos Existentes, Cambio De Puertas De Acceso A Consultorios, Mobiliario Nuevo, Cambio De Artefactos De Iluminacion. El Proyecto Cuenta Con 57 M2 Cubiertos Destinados Al area De Guardia.;2169707;3;BALVANERA;-346.176.205.106.544;-584.094.003.246.186;12/4/2015;30/6/2017;26;100;SES SA;2014;;
19004;Hospital Ramos Mejia;Hospital Ramos Mejia - Infraestructura Y Seguridad;Finalizada;Salud;Ministerio de Salud;La Obra De Seguridad Consiste En La Realizacion De Seguridad Perimetral + Seguridad En Carpinterias Y Circulacion;1284062;3;BALVANERA;-346.176.205.106.544;-584.094.003.246.186;31/10/2016;31/7/2017;9;100;SES SA;2014;;
19005;Hospital Durand;Hospital Durand - Infraestructura Y Seguridad - 2ø Etapa;Finalizada;Salud;Ministerio de Salud;2da Etapa: Elevacion Del Cercado Perimetral De La Av. Diaz Velez.2) Reparacion Integral De La Garita De Seguridad Del Ingreso Vehicular De La Calle Lobos.3) Reparacion Puerta Sector Cardiologia.4) Reforzar Puerta-Reja De Acceso Tomografia Computada.;2784361;6;CABALLITO;-346.088.715.380.348;-584.378.883.759.306;8/9/2017;30/9/2017;0;100;Seyma Riva SaIIcfa - Mantelectric Icisa Ute;2014;;
19006;Hospital Durand;Hospital Durand - Remodelacion Del Sector De Guardia;Finalizada;Salud;Ministerio de Salud;La Obra De Refaccion De Guardia En El Hospital Durand Consiste En La Puesta En Valor De Las Zonas De Circulacion De Las Guardias (Publicas Y Consultorios), Las Salas De Espera, Los Sanitarios Publicos Nuevos Mesones De Atencion Para Mejorar La Experiencia De Los Vecinos Y Visitantes Que Utilizan Las areas De Guardia. La Obra Comprendera Tareas De Pintura, Desmonte Y Reemplazo De Carpinterias Existentes, Cambios De Vidrios, Mobiliario Nuevo, Pulido De Pisos Graniticos Y Limpieza Revestimientos Ceramicos Existentes, Cambio De Cielorraso Y Artefactos De Iluminacion, Reemplazo De Mueble De Recepcion Y De Tabiqueria Liviana De Placa Melaminica.;12815554;6;CABALLITO;-346.088.715.380.348;-584.378.883.759.306;17/7/2017;30/6/2017;;100;Seyma Riva SaIIcfa - Mantelectric Icisa Ute;2014;;
19007;Hospital Durand;Hospital Durand - Infraestructura Y Seguridad - 1ø Etapa;Finalizada;Salud;Ministerio de Salud;1ra Etapa: La Obra De Seguridad Consiste En Trabajos Varios Como Puerta De Seguridad En Terraza, Cierre Sector Proximo A Hemodinamia, Casilla De Gas, Sector De Centro Medico Clinico, Rejas En Laboratorio E Iluminacion.;3037690;6;CABALLITO;-346.088.715.380.348;-584.378.883.759.306;9/8/2017;30/9/2017;1;100;Seyma Riva SaIIcfa - Mantelectric Icisa Ute;2014;;
19009;Hospital Pi¤ero;Hospital Pi¤ero - Infraestructura Y Seguridad;Finalizada;Salud;Ministerio de Salud;La Obra De Seguridad Consiste En Obras Varias Como La Construccion De Un Recinto Para Traslado De Comite De Emergencia, Acondicionamiento Y Puesta En Valor Del Recinto Existente Para Seguridad Sobre La Calle Varela, La Construccion De Recinto Para El Personal De Seguridad Sobre La Calle Crisostomo alvarez Y Otro En El Sector De Acceso Frente A La Guardia Principal Y El Reemplazo Y Colocacion De Puertas De Seguridad, Entre Otras Como: Rejas, Puertas, Cortinas, Garita, Barrera De Seguridad E Iluminacion;1231889;7;FLORES;-346.441.243.289.697;-584.536.745.869.801;23/9/2016;31/8/2017;11;100;Lesko S.A.C.I.F.I.A.;2014;;
19010;Hospital Argerich;Hospital Argerich - Remodelacion Del Sector De Guardia;Finalizada;Salud;Ministerio de Salud;La Obra De Refaccion De Guardia En El Hospital Argerich Consistio En La Puesta En Valor De Las Zonas De Circulacion De Las Guardias (Publicas Y Consultorios), Las Salas De Espe¤a, Los Sanitarios Publicos Nuevos Mesones De Atencion Para Mejorar La Experiencia De Los Vecinos Y Visitantes Que Utilizan Las areas De Guardia. La Obra Comprendio: Demoliciones, Desmontes Y Retiros, La Remodelacion De Ba¤os Existentes. (Instalaciones Sanitarias Nuevas, Solados, Cielorrasos, Artefactos De Iluminacion Y Sanitarios Anti-Vandalicos), Nuevo Cielorraso En Sector De Espe¤a Y Ba¤os, Como Tambien El Pulido De Pisos Y Paredes Existentes. Vidrios De Seguridad En Todo El Sector De Espe¤a De La Guardia, Incluido El Meson De Admision, Que Ademas Se Reciclo A Nuevo Con Acero Inoxidable Y Formica. Reparacion De Los Dos Aleros En Acceso A Las Guardias, Con El Cambio Del Policarbonato Por Chapas Traslucidas Transparentes Y La Pintura Del Sector.;6548728;4;LA BOCA;-346.277.812.961.499;-583.660.267.152.694;12/4/2017;30/6/2017;2;100;Sehos S.A.;2014;;
19011;Hospital Penna;Hospital Penna - Infraestructura y seguridad - 2ø Etapa;Finalizada;Salud;Ministerio de Salud;2da Etapa: construccion de muro perimetral de la parte trasera de cirugia, residencia de medicos (calle Cortejarena);6711165;4;PARQUE PATRICIOS;-346.430.517.547.785;-584.114.123.648.285;18/7/2017;31/7/2017;0;100;Indaltec S.A.;2014;Licitacion Publica;74-SIGAF-MSGC-2014
19012;Hospital Fernandez;Hospital Fernandez - Infraestructura Y Seguridad - 2ø Etapa;Finalizada;Salud;Ministerio de Salud;1ra Etapa: la obra de seguridad consiste en la colocacion de puertas internas de seguridad en el sector de guardia mas dos puertas dobles en el sector de la UTI.;1605362;14;PALERMO;-34.581.139;-58.406.896;17/4/2017;31/5/2017;1;100;Mig S.A.;2014;Licitacion Publica;66-SIGAF-MSGC-2014
19013;Hospital Rivadavia;Hospital Rivadavia - Infraestructura y Seguridad;Finalizada;Salud;Ministerio de Salud;La obra consiste: 1) Colocacion de rejas perimetrales sobre las calles Sanchez de Bustamante y Pacheco de Melo. 2) Elevacion de rejas sobre la calle Austria y Av. Las Heras. 3) Elevacion de las rejas del sector precursores quimicos. 4) Colocacion de rejas en ventanas del pabellon de morgue/ laboratorio, lindante a calle Pacheco de Melo. 5) Incremento de luminarias en los pasillos internos. 6) Incremento de luminarias en los patios externos y jardines. 7) Incremento de luminarias en el sector de precursores quimicos. 8) Reparacion de las puertas de ingreso a guardia.;11637039;2;RECOLETA;-345.843.552.484.895;-584.008.112.524.066;9/10/2017;29/12/2017;2;100;Seyma Riva SaIIcfa - Mantelectric Icisa Ute;2014;Licitacion Publica;79-SIGAF-MSGC-2014
19014;Hospital Tornu;Hospital Tornu - Remodelacion Del Sector Guardia;Finalizada;Salud;Ministerio de Salud;La Obra De Refaccion De Guardia En El Hospital Tornu Consiste En La Puesta En Valor De Las Zonas De Circulacion De Las Guardias (Publicas Y Consultorios), Las Salas De Espera, Los Sanitarios Publicos Nuevos Mesones De Atencion Para Mejorar La Experiencia De Los Vecinos Y Visitantes Que Utilizan Las areas De Guardia. La Obra Comprendera Tareas De Pintura, Pulido De Pisos Y Revestimientos Graniticos Existentes, Cambio De Puertas De Acceso A Consultorios, Mobiliario Nuevo, Entre Otros. El Proyecto Cuenta Con 40 M2 Cubiertos.;742690;15;PARQUE CHAS;-345.873.074.404.311;-584.708.927.532.251;17/7/2017;30/4/2017;;100;SES SA;2014;;
19015;Hospital Pirovano;Hospital Pirovano - Readecuacion Local Residuos Peligrosos;Finalizada;Salud;Ministerio de Salud;En El Marco Del Plan De Mejoras Que Se Esta Desarrollando En La Hospital Pirovano, Se Preve Los Trabajos De Readecuacion De Local De Residuos Peligrosos.;1103965;12;COGHLAN;-345.651.057.769.818;-584.709.864.414.289;1/1/2017;31/8/2017;7;100;Mejoramiento Hospitalario S.A.;2014;;
23008;Barrio 31;Barrio 31: Cedel;Finalizada;Arquitectura;Ministerio de Desarrollo Humano y Habitat;"Se readecuo un edificio existente ampliando la cantidad de m2. Se adopto como medidas de eficiencia energetica, la aislacion de los techos; la aplicacion de artefactos luminicos eficientes energeticamente en los espacios interiores y comunes. Para reducir los consumos de agua, se implemento un sistema de almacenaje del agua de lluvia, se aplico un sistema dual de disposicion del agua de los sanitarios y se aplico sistemas de bajo consumo en la griferia en general. Se usaron muros de steel framing con estructura de tubos de acero galvanizado, aislacion termo-acustica intermedia e interior de paneles de placa de yeso . Se pusieron doble vidriado hermetico laminado para las ventanas ya que las carpinterias deberan cumplir como minimo con una transmitancia termica de entre 3 y 4 w/mýk, cumpliendo con los parametros de norma IRAM 11.507, partes 1, 3 y 4.";7398101;1;RETIRO;-345.835.958.937.482;-583.745.356.226.373;28/9/2016;27/12/2016;3;100;Kir S.R.L;2016;Licitacion Publica Nacional;
23009;Barrio 31;Barrio 31: Anexo Cedel (Oficina Afip - Agip);Finalizada;Arquitectura;Ministerio de Desarrollo Humano y Habitat;Sobre una construccion existente se realizaron las modificaciones necesarias para instalar oficinas de tributacion. Se adecuaron los espacios para habilitar la atencion al publico, se colocaron nuevos revestimientos, artefactos luminicos y se modifico el sistema cloacal del edificio existente.;993017;1;RETIRO;-345.835.958.937.482;-583.745.356.226.373;13/2/2017;14/4/2017;2;100;Merlino;2016;Licitacion Publica;339-SIGAF/17
23010;Barrio 31;Barrio 31: Galpon;Finalizada;Arquitectura;Ministerio de Desarrollo Humano y Habitat;El ?galpon? es un centro comunitario que promueve el encuentro, participacion y formacion de los vecinos. Su objetivo es mejorar la proximidad y la atencion inmediata, y garantizar el acceso a las politicas sociales. Cuenta con un CESAC, oficinas de atencion al vecino desde diversas areas (ANSES, RENAPER, Migraciones, Defensoria del Pueblo, entre otros) y con talleres de actividades educativas, culturales y deportivas. La obra consistio en la puesta en valor, reforzamiento estructural de una edificacion ya existente. Se llevaron a cabo tareas de tendido electrico, colocacion de artefactos luminicos, pintura.;18884253;1;RETIRO;-345.835.958.937.482;-583.745.356.226.373;10/4/2016;4/1/2017;9;100;Merlino;2016;Licitacion Publica;691-SIGAF-16
23011;Barrio 31;Barrio 31: Oficina 99;Finalizada;Arquitectura;Ministerio de Desarrollo Humano y Habitat;El proyecto consistio en la remodelacion y mejoramiento del inmueble existente en la manzana 99 del bajo autopista. Cumple la funcion el albergar oficinas de atencion de la secretaria de integracion social y urbana. El inmueble consta de dos plantas, 1er y 2da en las cuales se desempe¤aran estas funciones. La obra consistio en el reacondicionamiento de las instalaciones sanitarias, electricas, cambio de la escalera de acceso, entre otras tareas.;450000;1;RETIRO;-345.835.958.937.482;-583.745.356.226.373;27/6/2017;26/8/2017;2;100;Bristol;2017;Contratacion menor;
23012;Barrio 31;Barrio 31: Cesac 47;Finalizada;Arquitectura;Ministerio de Desarrollo Humano y Habitat;"Ubicado dentro del predio del denominado ""Galpon"", la obra consistio en la ampliacion y readeacuacion de un centro de atencion primaria. Hoy cuenta con un vacunatorio, una enfermeria, una sala de administracion, una farmacia, y mas consultorios.";;1;RETIRO;-345.835.958.937.482;-583.745.356.226.373;10/4/2016;4/1/2017;9;100;Merlino;2016;Licitacion Publica;691-SIGAF-16
23013;Barrio 31;Barrio 31: Portal;Finalizada;Arquitectura;Ministerio de Desarrollo Humano y Habitat;La obra del portal implico la expansion de un edificio pre-existente de oficinas. Cumple como funcion el albergar oficinas de atencion de la Secretaria de Integracion Social y Urbana. La obra consistio en el reacondicionamiento de las instalaciones sanitarias, electricas, cambio de la escalera de acceso asi como tambien la ampliacion en m2 del area de oficinas.;2498500;1;RETIRO;-345.835.958.937.482;-583.745.356.226.373;4/4/2016;30/6/2016;2;100;Juan Pablo Boyatjian;2016;433;
25000;Distrito De Las Artes;Usina Del Arte: Plaza Verde ;Finalizada;Espacio Publico;Corporacion Buenos Aires Sur;Se Trata De Un Nuevo Espacio Anexo A La Usina Del Arte Donde No Solo Se Incorporo Un Nuevo Espacio Verde Para La Ciudad, Sino Que Ademas Sirve Como Apoyo A Las Actividades Que Se Desarrollan En La Usina. Este Espacio Cuenta Con Sectores De Verde, Escenario Elevado, Camarines, Sino Que En El Mismo Se Poddran Desarrollar Espectaculos Donde Podran Ser Vistos Por 10.000 Visitantes.;17451932;4;LA BOCA;-346.290.579.802.522;-58.355.833.260.433;15/6/2017;20/10/2017;4;100;Building Co S.R.L;2017;;
25001;Barrio Los Piletones;Barrio Los Piletones: Plaza En Manzana 4;Finalizada;Espacio Publico;Corporacion Buenos Aires Sur;El objeto de la obra es crear un nuevo espacio publico de aproximadamente 500 m2, con 130 m2 de espacio verde y absorbente para brindar un nuevo pulmon al barrio. Incluira nueva iluminacion y se ejecutara una reja perimetral que permita brindar mayor seguridad al sector, evitando que la plaza pueda ser utilizada en horarios nocturnos.;6904948;8;VILLA SOLDATI;-346.626.075.156.912;-584.532.532.147.181;29/6/2017;15/12/2017;6;100;Urbaser Argentina S.A.;2017;Licitacion Publica;04-CBAS-2017
25002;Caniles;Canil Parque Lezama;Finalizada;Espacio Publico;Ministerio de Espacio Publico e Higiene Urbana;Espacios Verdes;2652765;4;LA BOCA;-3.462.558;-58.367.786;4/6/2016;8/5/2016;;100;Algieri S.A;2016;;
25003;Caniles;Canil Parque Patricios;Finalizada;Espacio Publico;Ministerio de Espacio Publico e Higiene Urbana;Espacios Verdes;3564845;4;PARQUE PATRICIOS;-346.371.173.816.198;-584.056.107.943.587;19/4/2016;29/11/2016;7;100;Indaltec S.A. Comercializadora Pacifico S.A. UTE;2016;;
25004;Caniles;Canil Plaza Armenia;Finalizada;Espacio Publico;Ministerio de Espacio Publico e Higiene Urbana;Espacios Verdes;2157347;14;PALERMO;-345.894.660.763.859;-584.250.806.029.387;19/4/2016;20/11/2016;7;100;Indaltec S.A. Comercializadora Pacifico S.A. UTE;2016;;
25005;Caniles;Canil San Martin;Finalizada;Espacio Publico;Ministerio de Espacio Publico e Higiene Urbana;Espacios Verdes;5034647;1;RETIRO;-345.935.643.798.232;-583.738.455.845.085;4/8/2016;12/7/2016;;100;Urbaser Argentina S.A - Ceob Sa Ute;2016;;
25006;Caniles;Canil Centenario - C1;Finalizada;Espacio Publico;Ministerio de Espacio Publico e Higiene Urbana;Espacios Verdes;2297470;6;CABALLITO;-34.608.637.383.273;-58.436.217.194.731;14/4/2016;4/10/2017;18;100;CASA MACCHI S.A.;2016;;
25007;Caniles;Canil Centenario - C2;Finalizada;Espacio Publico;Ministerio de Espacio Publico e Higiene Urbana;Espacios Verdes;2447396;6;CABALLITO;-34.608.637.383.273;-58.436.217.194.731;14/4/2016;4/10/2017;18;100;CASA MACCHI S.A.;2016;;
25008;Caniles;Canil Centenario - C3;Finalizada;Espacio Publico;Ministerio de Espacio Publico e Higiene Urbana;Espacios Verdes;2339767;6;CABALLITO;-34.608.637.383.273;-58.436.217.194.731;14/4/2016;4/10/2017;18;100;CASA MACCHI S.A.;2016;;
25009;Plazas y Parques de Comuna 1;Reserva Ecologica. Nuevo borde costero - Playa.;Finalizada;Espacio Publico;Ministerio de Espacio Publico e Higiene Urbana;Espacios Verdes;5434421;1;PUERTO MADERO;-34.611.198.736.898;-583.592.383.994.201;1/2/2017;30/3/2017;1;100;Planobra S.A - Indaltec S.A Ute;2016;;
25010;Plazas y Parques de Comuna 1;Reserva Ecologica: Rambla;Finalizada;Espacio Publico;Ministerio de Espacio Publico e Higiene Urbana;Espacios Verdes;3548080;1;PUERTO MADERO;-34.611.198.736.898;-583.592.383.994.201;1/2/2017;30/3/2017;1;100;Planobra S.A - Indaltec S.A Ute;2016;;
25011;Plazas y Parques de Comuna 1;9 de Julio - Uade;Finalizada;Espacio Publico;Ministerio de Espacio Publico e Higiene Urbana;Espacios Verdes;3500000;1;MONTSERRAT;-346.164.828.564.921;-583.815.714.401.814;20/12/2016;30/5/2017;5;100;Urbaser Argentina S.A - Ceob Sa Ute;2017;;
25012;Plazas y Parques de Comuna 6;Parque Centenario: Veredas ;Finalizada;Espacio Publico;Ministerio de Espacio Publico e Higiene Urbana;Espacios Verdes;9843854;6;CABALLITO;-34.608.637.383.273;-58.436.217.194.731;9/10/2016;17/2/2017;4;100;CASA MACCHI S.A.;2016;;
25013;Plazas y Parques de Comuna 1;Campa¤a del Chaco: Puesta en valor ;Finalizada;Espacio Publico;Ministerio de Espacio Publico e Higiene Urbana;Espacios Verdes;8654246;1;PUERTO MADERO;-34.584.404;-58.379.541;23/10/2017;23/2/2018;4;100;Algieri S.A;2017;;
25014;Bibliotecas;Biblioteca Julio Cortazar - Casa De La Lectura: Puesta En Valor;Finalizada;Arquitectura;Ministerio de Cultura;Puesta En Valor Integral Biblioteca Julio Cortazar, Tareas De Mantenimiento Y Refaccion;4206200;15;VILLA CRESPO;-3.459.788.444.104;-584.298.033.003.533;1/6/2017;31/12/2017;6;100;Obra realizada con personal propio;;;
25015;Barrio 31;Barrio 31: Feria;Finalizada;Espacio Publico;Ministerio de Desarrollo Humano y Habitat;La obra comprende trabajos de mejoramiento urbano: pavimentos, veredas, parquizacion, mobiliario urbano, alumbrado publico en el sector de la feria entre la calle Perette hasta la calle Playon Este y tendido de redes de infraestructura electrica y sanitaria. Incluye tambien un area de espacio publico con zonas verdes, juegos para ni¤os y una cancha deportiva. Todas estas obras persiguen ademas, ser sustento para la renovacion, organizacion y formalizacion de los puestos comerciales existentes de la feria.;59192343;1;RETIRO;-34.584.365;-58.375.702;20/2/2017;8/12/2017;10;100;Pose;2017;Licitacion Publica;8-SIGAF/17
25016;Barrio 31;Barrio 31: Cancha Y Plaza Vilma;Finalizada;Espacio Publico;Ministerio de Desarrollo Humano y Habitat;Este proyecto consistio en la puesta en valor del area destinada a espacio publico (area aproximada 806 m2) ubicada en el sector Playon Oeste. El proyecto propuso regenerar el espacio publico para reforzar el uso deportivo que historicamente tuvo, asi como tambien el recreativo y de esparcimiento. Consta de tres grandes espacios, una cancha de usos multiples, un recorrido de rampas para el desnivel existente entre la vereda y el galpon, acompa¤ado por terrazas escalonadas de verde que proporcionan una oportunidad optima para el aporte ambiental, y por ultimo, un gran espacio con juegos para ni¤os.;14148025;1;RETIRO;-345.835.523.801.807;-58.374.513.873.277;7/5/2017;15/12/2017;7;100;Cooperativa;2017;;
25017;Barrio 31;Barrio 31: Playon Oeste;Finalizada;Espacio Publico;Ministerio de Desarrollo Humano y Habitat;Este proyecto consistio en la puesta en valor del area destinada a espacio publico (area aproximada 806 m2) ubicada en el sector Playon Oeste. El proyecto propuso regenerar el espacio publico para reforzar el uso deportivo que historicamente tuvo, asi como tambien el recreativo y de esparcimiento. Consta de tres grandes espacios, una cancha de usos multiples, un recorrido de rampas para el desnivel existente entre la vereda y el galpon, acompa¤ado por terrazas escalonadas de verde que proporcionan una oportunidad optima para el aporte ambiental, y por ultimo, un gran espacio con juegos para ni¤os.;44507177;1;RETIRO;-345.835.690.042.635;-583.744.825.825.511;15/12/2016;16/5/2018;17;100;C&E Construcciones S.A.;2016;Licitacion Publica;9328-SIGAF/16
